unique_id;name;strasse_nr;art;lieferung;fon;name_street;fon_place_id;name_place_id
249;Dioklecijan Split;Pionierstraße 51;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493074730909;Dioklecijan Split Pionierstraße 51;['ChIJ45UqYRlWqEcR_JLLUuKhN_E'];['ChIJ45UqYRlWqEcR_JLLUuKhN_E']
298;Trattoria da Francesco;Seegefelder Weg 230;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493053164443;Trattoria da Francesco Seegefelder Weg 230;['ChIJuXDqMpz4qEcRDibTHIcllVI'];['ChIJuXDqMpz4qEcRDibTHIcllVI']
926;Heidekrug;Am Heideberg 14;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+49303663706;Heidekrug Am Heideberg 14;['ChIJdaUDjJH4qEcRygpmCwfmgGs'];['ChIJdaUDjJH4qEcRygpmCwfmgGs']
55;Tempel der Gesundheit;Finkenkruger Weg 69C;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+4915734359364;Tempel der Gesundheit Finkenkruger Weg 69C;[];['ChIJ51HgrEZWqEcRlWphzCb0N04']
63;Evergreen;Magistratsweg 31;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493633491;Evergreen Magistratsweg 31;[];['ChIJZQyGktVXqEcRmyCRJ4Lrgic']
73;Il Nuouvo Arcino’s;Wilhelmstraße 89;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+49303614935;Il Nuouvo Arcino’s Wilhelmstraße 89;['ChIJ2957vMRXqEcRp2ZFx6ag4bg'];['ChIJ2957vMRXqEcRp2ZFx6ag4bg']
68;Barfly;Brüderstraße 47;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+491792227820;Barfly Brüderstraße 47;[];['ChIJby-1tkpWqEcR4R_QtmTW0u0']
1133;Croacia-Eck;Pichelsdorfer Straße 107;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4917669502735;Croacia-Eck Pichelsdorfer Straße 107;[];['ChIJcTPQF0tWqEcRyVx7bQlBKXE']
1232;SATT UND SELIG;Carl-Schurz-Straße 47;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493036753877;SATT UND SELIG Carl-Schurz-Straße 47;['ChIJmbrIyEZWqEcRrjGzTR9Ucmg'];['ChIJmbrIyEZWqEcRrjGzTR9Ucmg']
711;Mischau Wurst - und Fleischwaren Werksverkauf;Wiesendamm 29-31;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493030009634;Mischau Wurst - und Fleischwaren Werksverkauf Wiesendamm 29-31;['ChIJidiIc-VWqEcRgYS18_2JBoE'];['ChIJidiIc-VWqEcRgYS18_2JBoE']
