;name;city;bezirk;street_nr;lat;lng;types;business_status;price_level;rating;user_ratings_total
ChIJyzJ1LNlPqEcRy_KWpSrjz0E;großherz;Berlin;Bezirk Pankow;Metzer Straße 22;52.53091620000001;13.4188396;['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment'];CLOSED_PERMANENTLY;;4.7;130
ChIJVxwwiANOqEcROvHO5CFCifY;Restaurant Suriya Kanthi;Berlin;Bezirk Pankow;Knaackstraße 4;52.5339172;13.4206541;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4;237
ChIJm7-IVw5OqEcRxFRycnVAoUE;Alt Wien, Gasthaus;Berlin;Bezirk Pankow;Hufelandstraße 22;52.53148669999999;13.4325518;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.6;686
ChIJb-CtNw5OqEcRp3kuYtPtR-I;Taleh Thai;Berlin;Bezirk Pankow;Käthe-Niederkirchner-Straße 14;52.53048799999999;13.4315041;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.6;405
ChIJb5hwHxBOqEcRkXNTv0ytAEg;Husseria;Berlin;Bezirk Pankow;Am Friedrichshain 22;52.5293151;13.4282772;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;1;4.4;28
ChIJ1-e9CQ9OqEcRnz5wfurfouw;Jubel;Berlin;Bezirk Pankow;Hufelandstraße 10;52.5322864;13.4305233;['bakery', 'food', 'point_of_interest', 'store', 'establishment'];CLOSED_TEMPORARILY;2;4.8;246
ChIJl5g9BQlOqEcRhTg_6syiEl8;Doll's Kitchen;Berlin;Bezirk Pankow;Bernhard-Lichtenberg-Straße 2;52.5363714;13.4346757;['food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.8;5
ChIJH9SSdg5OqEcRnNNxEppzTmo;Mami Camilla;Berlin;Bezirk Pankow;Hufelandstraße 36;52.5305691;13.4344957;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.1;425
ChIJfTjGr3ZOqEcRgIR3ooJBTQE;kiezküchen gastronomie & bildungszentrum cantina;Berlin;Bezirk Pankow;Storkower Straße 134;52.5328414;13.452664;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;3.1;18
ChIJi03_EABOqEcRNt4T6iTkOuE;Red Dragon;Berlin;Bezirk Pankow;Danziger Straße 29;52.54047610000001;13.4176443;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.1;120
ChIJO9gSHQZPqEcRpzlBbrmTXy0;Der blaue Fuchs;Berlin;Bezirk Pankow;Knaackstraße 43;52.53589169999999;13.4162625;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.4;330
ChIJyWdFA_lRqEcRPDXaiTYiPmk;Bonanza Coffee Heroes;Berlin;Bezirk Pankow;Oderberger Straße 35;52.53997499999999;13.4053444;['cafe', 'food', 'point_of_interest', 'store', 'establishment'];OPERATIONAL;2;4.3;1172
ChIJB5hhpFJOqEcRGGuZneP0Bvo;Gloria Berlin;Berlin;Bezirk Friedrichshain-Kreuzberg;Görlitzer Straße 42;52.49631429999999;13.4417678;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.1;271
ChIJZWhH5f9RqEcR-7MxOmONO1Y;Gloria Prenzlauer Berg;Berlin;Bezirk Pankow;Danziger Straße 17;52.540762;13.4158457;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.4;294
ChIJjy7XnifjtkcRqomY-d95Amg;Zwischenahner Bestattungsverein e.V.;Ammerland;Bad Zwischenahn;An den Feldkämpen 19;53.17622;7.96188;['funeral_home', 'point_of_interest', 'establishment'];OPERATIONAL;;;0
ChIJPThB-RlPqEcRRJoQ0kRd4bI;Domu Nosta;Berlin;Bezirk Pankow;Knaackstraße 45;52.5360576;13.4161231;['restaurant', 'food', 'point_of_interest', 'establishment'];CLOSED_TEMPORARILY;;4.9;63
ChIJu20u0QFOqEcR7FdAKIEi-qE;Restaurant Cenacolo;Berlin;Bezirk Pankow;Sredzkistraße 23;52.5386;13.4160201;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.3;386
ChIJqTlWAgFOqEcRyB_Nn8P9cUA;Zum dritten Mann;Berlin;Bezirk Pankow;Kollwitzstraße 87;52.5383341;13.4199555;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.2;253
ChIJKzAqy9pRqEcR8M6bFpygXF8;chabatree;Berlin;Mitte;Jägerstraße 63D;52.51397;13.38789;['point_of_interest', 'establishment'];OPERATIONAL;;;0
ChIJycWvFjFPqEcRgdqXOOxdfYQ;Biogoods – Bioladen, Feinkost & Kaffeebar;Berlin;Bezirk Pankow;Kastanienallee 101;52.5396869;13.4112264;['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment'];OPERATIONAL;;4.3;6
ChIJJ4qAvkRPqEcRvb4915fW3PU;Marktschwärmer Prenzlauer Berg - KASTANIENALLEE;Berlin;Bezirk Pankow;Göhrener Straße 1;52.53971010000001;13.4111564;['point_of_interest', 'establishment'];OPERATIONAL;;5;2
