,name,strasse_nr,bezirk,lat,lng,types,delivery,franchise,food_type,price_lvl,nr_ratings,rating,angebot
896,Restaurant Dalmacija,Quäker Straße 2,Reinickendorf,52.572572,13.308222,"['restaurant', 'food', 'point_of_interest', 'establishment']",True,True,['international'],Moderate,403,4.7,Kroatische und internationale Spezialitäten
1242,Restaurant Dalmacija,Schorfheidestraße 23,Reinickendorf,52.59390690000001,13.3473188,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,True,[],Moderate,671,4.5,Kroatische Küche
895,Curry Wolf Schloßstraße,Schloßstraße 17 A,Steglitz-Zehlendorf,52.46164,13.3249211,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",False,False,[],Unknown,23,3.6,"Original Berliner Currywurst, Pommes Frites, Bratwurst, Boulette, Cola, Fanta, Apfelschorle, Wasser, Bier, Champagner"
553,Pizzeria La Buca,Hubertussstraße 2,Steglitz-Zehlendorf,52.4601274,13.3250285,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,"['pizza', 'pasta']",Moderate,310,4.5,Pizza-Pasta
815,Pot & Pepper,Kieler Straße 9,Steglitz-Zehlendorf,52.4585374,13.3245371,"['furniture_store', 'home_goods_store', 'food', 'point_of_interest', 'store', 'establishment']",False,False,[],Moderate,86,4.6,240 Gewürze und Gewürzmischungen
383,Foersters Feine Biere,Bornstraße 20,Steglitz-Zehlendorf,52.4665682,13.3219215,"['bar', 'liquor_store', 'point_of_interest', 'store', 'establishment']",False,False,['deutsch'],Moderate,262,4.8,Bierspezialitäten aus ganz Deutschland
561,Sale e Pane,Markelstraße 52,Steglitz-Zehlendorf,52.4643659,13.3233822,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,"['pizza', 'pasta']",Moderate,392,4.5,"Pizza & Pasta, Dessert"
1261,Gyros Grill Villa Christina,S-Bhf. Feuerbachstraße 34,Steglitz-Zehlendorf,52.46350109999999,13.3321633,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",True,False,"['griechisch', 'salat']",Inexpensive,229,4.4,"Wir bieten Ihnen griechischen Fast-Food unter anderem ein Vielzahl an griechische Vorspeisen, frische Salate, den Klassiker Gyros Pita sowie viele Grillgerichte und Traditionelen Backofen und Topf Gerichten. Wir verwöhnen damit jeden Geschmack und Liebhaber der griechische Küche."
1104,Split grill,Schloßstraße 128,Steglitz-Zehlendorf,52.46419600000001,13.3280636,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,[],Moderate,253,4.5,Kroatisch
240,Thai Restaurant Mai Phai,Feuerbachstraße 16,Steglitz-Zehlendorf,52.4631517,13.3289586,"['restaurant', 'food', 'point_of_interest', 'establishment']",True,False,['thai'],Moderate,555,4.4,Thailändisch Spezialitäten Küche
173,BurgerArt,Albrechtstraße 131,Steglitz-Zehlendorf,52.45708119999999,13.3223444,"['restaurant', 'food', 'point_of_interest', 'establishment']",True,False,[],Moderate,708,4.1,Amerikanische Küche
1200,Sombrero Restaurant Bar Catering,Wrangelstraße 11-12,Steglitz-Zehlendorf,52.45572,13.317112,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",True,False,['mexikanisch'],Moderate,653,4.2,Cocktails und ausgewählte lateinamerikanische/mexikanische Speisen to go
6,Domino`s Berlin Lichterfelde,Hindenburgdamm 3,Steglitz-Zehlendorf,52.4322933,13.3109677,"['restaurant', 'food', 'point_of_interest', 'establishment']",True,False,"['pizza', 'pasta', 'salat']",Moderate,161,3.4,"Pizza, Pasta, Salate, Fingerfood"
87,Eiskimo Berlin,Curtiusstraße 8,Steglitz-Zehlendorf,52.4425581,13.2949434,"['food', 'point_of_interest', 'store', 'establishment']",False,False,['kaffee'],Moderate,636,4.6,Speiseeis sowie Kaffee und Softgetränke
614,Restaurant Macedonia,Hans-Sachs-Str.4f,Steglitz-Zehlendorf,52.443404,13.295241,"['restaurant', 'food', 'point_of_interest', 'establishment']",True,False,"['pizza', 'pasta', 'saisonal']",Moderate,297,4.4,"Pizza ,Pasta , Saisonal, Balkan,"
475,Goldkörner Müsli-Manufaktur,Finckensteinallee 2,Charlottenburg-Wilmersdorf,52.5043009,13.319117,"['food', 'point_of_interest', 'establishment']",False,False,[],Unknown,4,5.0,Premium Granola aus eigener Herstellung. 100% natürliche Zutaten
913,Restaurant Annarella,Drakestraße 60,Steglitz-Zehlendorf,52.4390489,13.3006536,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,"['pizza', 'salat', 'griechisch']",Moderate,117,4.1,"Pizza, Salate, Nudeln, Griechisch"
155,Enoteca Vecchio Mulino,Drakestraße 36,Steglitz-Zehlendorf,52.44497949999999,13.2948206,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,['italienisch'],Expensive,65,4.7,italienische Küche
1211,Ristorante Marinella,Unter den Eichen 94,Steglitz-Zehlendorf,52.44456,13.291547,"['restaurant', 'food', 'point_of_interest', 'establishment']",True,False,['italienisch'],Moderate,400,4.6,Italienischer Familienbetrieb aus Süd Italien
1267,Royal Garden,Osdorfer Straße 26,Steglitz-Zehlendorf,52.41627219999999,13.3154306,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,"['chinesisch', 'vegetarisch', 'vegan']",Moderate,2807,4.4,"Chinesische Küche (vegetarisch und vegan auch möglich), Catering"
330,Restaurant Schlosspark-Grill,Bäkestraße 9,Steglitz-Zehlendorf,52.435131,13.313444,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,['international'],Inexpensive,920,4.5,"Kroatische und Internationale Gerichte, Getränke"
513,Café Rosenduft Organic,Jungfernstieg 4b,Steglitz-Zehlendorf,52.42985,13.32727,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",True,False,"['vegan', 'kuchen', 'kaffee']",Moderate,120,4.3,"12 Sorten Bio Premium Eis davon 5 vegan, hausgemachte Kuchen und Torten auch glutenfrei und vegan, Alle Kaffeesorten auch mit Soja oder Hafermilch, Kalte Getränke"
79,Il Campo,Feldstraße 1,Steglitz-Zehlendorf,52.4156612,13.3037753,"['restaurant', 'food', 'point_of_interest', 'establishment']",True,False,['italienisch'],Moderate,265,4.4,italienisch
166,Osteria 33,Goerzallee 33,Steglitz-Zehlendorf,52.4282777,13.3065047,"['restaurant', 'food', 'point_of_interest', 'establishment']",True,True,[],Moderate,45,4.2,Mediterrane Küche
108,Torrefazione,Oberhofer Weg 4,Steglitz-Zehlendorf,52.42709660000001,13.3264214,"['food', 'point_of_interest', 'establishment']",True,False,['kaffee'],Unknown,42,4.6,"frisch gerösteter Kaffee, Coffee to go"
1209,Taverna Levkos Pyrgos,Hildburghauser Straße 115,Steglitz-Zehlendorf,52.4165421,13.3373442,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,['griechisch'],Moderate,510,4.5,griechisches Restaurant
290,Bei Maria,Kaiser-Wilhelm-Straße 129a,Steglitz-Zehlendorf,52.4415934,13.3536709,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,['deutsch'],Unknown,79,4.0,Deutsch-Koratische Küche
1178,TAVERNA SIRTAKI,Kaiser-Wilhelmstraße 130,Steglitz-Zehlendorf,52.44189,13.35312,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,['griechisch'],Moderate,817,4.6,Würzige griechische Speisen
