id;name;strasse_nr;bezirk;lat;lng;types;delivery;price_lvl;nr_ratings;rating
690;Manjurani;Knesebeckstraße 4;Charlottenburg-Wilmersdorf;52.51017270000001;13.3227608;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Inexpensive;387;4.0
153;McDonald's Zooterrassen;Hardenbergplatz 13;Hardenbergplatz;52.5070151;13.332541;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;4131;3.7
250;Ottenthal Restaurant;Kantstraße 153;Charlottenburg-Wilmersdorf;52.5053972;13.326917;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;595;4.6
251;Die Stulle;Carmerstraße 10;Charlottenburg-Wilmersdorf;52.5066335;13.3236872;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;681;4.5
949;Pizzeria Ali Baba;Bleibtreustraße 45;Charlottenburg-Wilmersdorf;52.5039826;13.3200244;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Inexpensive;1320;4.3
520;Thai Restaurant Elephant;Fasanenstraße 15;Charlottenburg-Wilmersdorf;52.5044759;13.3274366;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;431;4.2
9;papaya in der kantstraße;Kantstraße 122;Charlottenburg-Wilmersdorf;52.506308;13.310465;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;769;4.4
1015;Leibniz Cafe;Leibnizstraße 17;Charlottenburg-Wilmersdorf;52.5108962;13.3147999;['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];True;Unknown;23;4.7
1158;NgoKimPak;Schlüterstraße 22-23;Charlottenburg-Wilmersdorf;52.50582999999999;13.31708;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Unknown;186;4.3
1159;FunkyFisch;Kantstraße 135-136;Charlottenburg-Wilmersdorf;52.5059281;13.317154;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Unknown;488;4.4
1098;Biscotti;Pestalozzistraße 88;Charlottenburg-Wilmersdorf;52.5077267;13.3114275;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Unknown;106;4.6
335;Reeham coffee;Schlüter Straße 12;Charlottenburg-Wilmersdorf;52.5087981;13.3175814;['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];False;Inexpensive;211;4.6
972;Dal Buongustaio;Windscheidstraße 24;Charlottenburg-Wilmersdorf;52.50595;13.29994;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;59;4.2
981;Lampang House Berlin;Pestalozzistraße 45;Charlottenburg-Wilmersdorf;52.50811239999999;13.3010049;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Unknown;27;4.4
209;Allgäuer Würstlestand;Karl-August-Platz;Berlin;52.50850209999999;13.3097608;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];False;Unknown;4;5.0
326;Vadoli Pizza;Kantstraße 55;Charlottenburg-Wilmersdorf;52.50679840000001;13.308008;['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment'];True;Unknown;596;4.2
144;Vegan Bio Snackbar by Attila Hildmann;Schillerstraße 71;Charlottenburg-Wilmersdorf;52.509698;13.3036227;['restaurant', 'food', 'point_of_interest', 'store', 'establishment'];True;Moderate;1813;4.0
946;Fresh & Easy;Pestalozzistraße 26;Charlottenburg-Wilmersdorf;52.50800230000001;13.3085857;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Unknown;121;4.6
1036;soopri. trendfood - BERLIN;Kantstraße 87;Charlottenburg-Wilmersdorf;52.5066595;13.2969405;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Unknown;59;4.6
868;Jim Block Wilmersdorfer;Wilmersdorfer Straße 115 – 118;Charlottenburg-Wilmersdorf;52.50733899999999;13.3067381;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;1393;4.3
98;Luigi's Catering Service;Wielandstraße 9;Charlottenburg-Wilmersdorf;52.505004;13.3153921;['food', 'point_of_interest', 'establishment'];True;Unknown;1;5.0
99;Ristorante San Giorgio;Mommsenstraße 36;Charlottenburg-Wilmersdorf;52.5038271;13.3050207;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Unknown;118;4.6
368;Restaurant Samos;Leibnizstraße 56;Charlottenburg-Wilmersdorf;52.5017801;13.3130099;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;730;4.4
372;Cucina Comoda;Wielandstrase 11;Charlottenburg-Wilmersdorf;52.5044696;13.3153838;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;158;4.4
987;Salhino;Waitzstraße 1;Charlottenburg-Wilmersdorf;52.50334549999999;13.3054309;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;422;4.6
28;Einhorn Deli;Mommsenstraße 2;Charlottenburg-Wilmersdorf;52.50298899999999;13.3208499;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;41;4.3
1084;Frau Behrens Torten;Wilmersdorfer Straße 96 - 97;Charlottenburg-Wilmersdorf;52.5017775;13.3080107;['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment'];False;Moderate;533;4.3
1086;Frau Behrens Torten;Bergmannstraße 3;Friedrichshain-Kreuzberg;52.48982150000001;13.3879161;['bakery', 'food', 'point_of_interest', 'store', 'establishment'];False;Unknown;182;4.3
1085;Frau Behrens Torten;Rheinstraße 65;Tempelhof-Schöneberg;52.4711315;13.3352019;['cafe', 'food', 'point_of_interest', 'establishment'];False;Moderate;262;4.4
477;NU Restaurant;Schlüterstraße 55;Charlottenburg-Wilmersdorf;52.5043833;13.3176;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;666;4.4
122;Christopher's;Mommsenstraße 63;Charlottenburg-Wilmersdorf;52.5029311;13.3163225;['restaurant', 'bar', 'food', 'point_of_interest', 'establishment'];True;Expensive;175;4.6
1001;Lutter&Wegner seit 1811;Schlüterstraße 55;Charlottenburg-Wilmersdorf;52.50443199999999;13.3177;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Unknown;12;5.0
760;Restaurant Nußbaumerin;Leibnizstraße 55;Charlottenburg-Wilmersdorf;52.5013934;13.3128854;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Expensive;337;4.7
594;Ristorante & Vinobar Calibocca;Schlüterstraße 30;Charlottenburg-Wilmersdorf;52.5039033;13.3168666;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;324;4.6
434;Gohan Tokyo to go;Wilmersdorferstraße 70;Charlottenburg-Wilmersdorf;52.5042318;13.3071309;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];True;Unknown;19;4.9
627;Nostress Café;Brandenburgischestraße 33;Charlottenburg-Wilmersdorf;52.4994715;13.3075751;['cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];False;Unknown;39;4.6
134;Restaurant bass;Xantener Straße 9;Charlottenburg-Wilmersdorf;52.4990069;13.3110365;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;130;4.4
